,Name,Date,Pattern,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days,High after 15 days,High after 20 days,High after 25 days,High after 30 days
0,Apple,2016-05-13,inv_hammer,22.6299991607666,23.59749984741211,23.674999237060547,23.802499771118164,23.65999984741211,23.857500076293945,24.297500610351562,24.522499084472656,24.934999465942383,25.1825008392334,25.11750030517578,25.47249984741211,24.780000686645508,24.142499923706055,23.262500762939453
1,Google,2016-06-13,inv_hammer,731.8800048828125,736.0,737.1500244140625,730.3900146484375,721.3900146484375,715.8699951171875,715.3800048828125,714.2100219726562,714.8800048828125,705.0,683.3300170898438,708.1199951171875,735.5999755859375,756.5900268554688,759.260009765625
2,Microsoft,2016-06-07,inv_hammer,52.099998474121094,52.439998626708984,52.0,52.04999923706055,50.720001220703125,50.099998474121094,50.119998931884766,50.470001220703125,50.43000030517578,50.83000183105469,51.43000030517578,49.470001220703125,51.540000915527344,53.86000061035156,56.84000015258789
3,Microsoft,2016-06-15,inv_hammer,49.689998626708984,50.470001220703125,50.43000030517578,50.83000183105469,51.43000030517578,51.459999084472656,52.060001373291016,50.939998626708984,49.150001525878906,49.470001220703125,50.720001220703125,51.61000061035156,53.9900016784668,56.22999954223633,56.369998931884766
4,McDonalds,2015-06-11,inv_hammer,95.58999633789062,95.55000305175781,95.0,94.66999816894531,95.5199966430664,96.62999725341797,97.13999938964844,97.02999877929688,97.95999908447266,97.44999694824219,96.91000366210938,96.5999984741211,97.77999877929688,98.22000122070312,97.41000366210938
5,McDonalds,2015-06-24,inv_hammer,96.63999938964844,96.91000366210938,97.3499984741211,97.2300033569336,96.30000305175781,95.81999969482422,96.5999984741211,96.27999877929688,96.77999877929688,96.58999633789062,97.2699966430664,99.11000061035156,99.0,99.33999633789062,100.18000030517578
6,McDonalds,2015-07-08,inv_hammer,95.83999633789062,97.2699966430664,97.77999877929688,98.51000213623047,99.05000305175781,99.62999725341797,99.11000061035156,98.22000122070312,98.20999908447266,97.72000122070312,98.25,98.38999938964844,100.13999938964844,98.43000030517578,101.87999725341797
7,McDonalds,2016-06-07,inv_hammer,121.9000015258789,122.48999786376953,123.08999633789062,122.66000366210938,123.97000122070312,123.19000244140625,123.31999969482422,122.62999725341797,122.70999908447266,124.08000183105469,124.0,118.63999938964844,120.95999908447266,123.0199966430664,126.87000274658203
8,McDonalds,2018-12-21,inv_hammer,174.14999389648438,175.27000427246094,174.0399932861328,175.7100067138672,177.5,177.8000030517578,176.3000030517578,176.4499969482422,179.1999969482422,181.8800048828125,182.2899932861328,183.2100067138672,186.1699981689453,187.7899932861328,177.5500030517578
9,McDonalds,2021-03-01,inv_hammer,208.25,209.89999389648438,208.99000549316406,207.49000549316406,208.22999572753906,210.58999633789062,211.1999969482422,213.6300048828125,215.22999572753906,214.24000549316406,220.5500030517578,226.91000366210938,227.8800048828125,232.27000427246094,231.66000366210938
10,Tim Hortons,2015-09-09,inv_hammer,38.18000030517578,38.56999969482422,37.709999084472656,37.5,37.380001068115234,37.52000045776367,38.029998779296875,37.40999984741211,38.130001068115234,37.849998474121094,38.20000076293945,36.099998474121094,36.06999969482422,37.13999938964844,38.22999954223633
11,Tim Hortons,2017-12-13,inv_hammer,61.540000915527344,62.040000915527344,61.720001220703125,61.630001068115234,61.2599983215332,61.404998779296875,62.18000030517578,61.869998931884766,61.345001220703125,61.34000015258789,61.88999938964844,64.18000030517578,61.41999816894531,61.61000061035156,61.59000015258789
12,Tim Hortons,2018-02-20,inv_hammer,59.22999954223633,59.77000045776367,59.119998931884766,59.54999923706055,59.68000030517578,59.130001068115234,59.59000015258789,59.61000061035156,58.09000015258789,58.22999954223633,58.119998931884766,59.77000045776367,59.060001373291016,57.95000076293945,58.0099983215332
13,Tim Hortons,2020-01-07,inv_hammer,63.38999938964844,62.970001220703125,63.63999938964844,63.09000015258789,62.869998931884766,63.38999938964844,63.29999923706055,63.63999938964844,64.27999877929688,65.83000183105469,65.73999786376953,63.779998779296875,63.099998474121094,66.66000366210938,66.52999877929688
14,Wendys,2015-04-10,inv_hammer,10.720000267028809,10.8100004196167,10.729999542236328,10.649999618530273,10.619999885559082,10.5,10.550000190734863,10.609999656677246,10.539999961853027,10.649999618530273,10.850000381469727,10.319999694824219,11.279999732971191,11.300000190734863,11.579999923706055
15,Wendys,2015-04-22,inv_hammer,10.4399995803833,10.649999618530273,10.850000381469727,10.770000457763672,10.630000114440918,10.59000015258789,10.34000015258789,10.319999694824219,10.5,10.539999961853027,11.199999809265137,11.199999809265137,11.670000076293945,11.40999984741211,11.420000076293945
16,Wendys,2016-06-21,inv_hammer,9.989999771118164,9.949999809265137,9.970000267028809,9.699999809265137,9.600000381469727,9.539999961853027,9.520000457763672,9.619999885559082,9.6899995803833,9.680000305175781,9.640000343322754,9.850000381469727,9.890000343322754,9.859999656677246,9.529999732971191
17,Wendys,2016-06-22,inv_hammer,9.8100004196167,9.970000267028809,9.699999809265137,9.600000381469727,9.539999961853027,9.520000457763672,9.619999885559082,9.6899995803833,9.680000305175781,9.640000343322754,9.609999656677246,9.819999694824219,9.90999984741211,9.779999732971191,9.75
18,Wendys,2017-06-27,inv_hammer,15.3100004196167,15.65999984741211,15.550000190734863,15.640000343322754,15.600000381469727,15.640000343322754,15.609999656677246,15.710000038146973,15.6899995803833,15.84000015258789,15.949999809265137,15.729999542236328,16.030000686645508,15.460000038146973,16.170000076293945
