,Name,Date,Pattern,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days,High after 15 days,High after 20 days,High after 25 days,High after 30 days
0,Apple,2016-04-26,shooting_star,26.087499618530273,24.677499771118164,24.469999313354492,23.68000030517578,23.520000457763672,23.934999465942383,23.975000381469727,23.517499923706055,23.362499237060547,23.4424991607666,23.392499923706055,23.674999237060547,24.522499084472656,24.885000228881836,24.889999389648438
1,Google,2016-09-14,shooting_star,790.4600219726562,803.6500244140625,799.02001953125,803.989990234375,802.75,805.9099731445312,819.0599975585938,817.0,810.0800170898438,813.489990234375,810.25,808.5,814.5,829.7999877929688,827.7100219726562
2,Google,2020-07-07,shooting_star,1489.9200439453125,1511.1700439453125,1529.1400146484375,1541.3399658203125,1576.3599853515625,1522.800048828125,1536.3299560546875,1515.9100341796875,1523.4300537109375,1569.010009765625,1587.050048828125,1526.010009765625,1493.1099853515625,1510.43994140625,1557.3699951171875
3,Google,2020-08-13,shooting_star,1516.6500244140625,1519.7900390625,1523.780029296875,1557.3699951171875,1568.8599853515625,1580.1700439453125,1591.8800048828125,1608.780029296875,1608.8800048828125,1652.7900390625,1647.989990234375,1700.0,1538.699951171875,1495.199951171875,1445.93994140625
4,Amazon,2017-05-19,shooting_star,959.8400268554688,971.3800048828125,975.2000122070312,981.0,999.0,998.6500244140625,1001.2000122070312,1000.1199951171875,998.989990234375,1008.47998046875,1013.2100219726562,975.9500122070312,1017.0,1009.7999877929688,974.489990234375
5,Amazon,2019-03-19,shooting_star,1761.8499755859375,1799.5,1823.75,1818.97998046875,1782.6800537109375,1805.77001953125,1787.5,1777.9300537109375,1792.8599853515625,1815.6700439453125,1820.0,1853.0899658203125,1869.77001953125,1929.68994140625,1943.6400146484375
6,Amazon,2019-11-04,shooting_star,1804.6600341796875,1810.25,1802.5,1805.9000244140625,1789.8800048828125,1780.0,1786.219970703125,1775.0,1766.5899658203125,1761.6800537109375,1753.699951171875,1777.4200439453125,1772.8699951171875,1750.6700439453125,1792.0
7,Amazon,2021-02-16,shooting_star,3268.949951171875,3320.909912109375,3338.0,3333.5,3232.320068359375,3204.72998046875,3171.22998046875,3178.260009765625,3122.43994140625,3149.56005859375,3163.52001953125,3090.9599609375,3128.909912109375,3182.0,3073.0
8,Tesla,2015-06-12,shooting_star,50.13800048828125,50.25600051879883,50.6879997253418,52.87200164794922,52.69200134277344,52.7599983215332,52.880001068115234,53.599998474121094,53.470001220703125,54.28200149536133,53.821998596191406,56.3380012512207,52.5099983215332,57.33000183105469,52.88600158691406
9,Tesla,2018-08-06,shooting_star,68.39800262451172,77.49199676513672,76.52799987792969,73.4020004272461,72.0,72.63800048828125,71.83999633789062,68.89800262451172,68.45600128173828,65.35399627685547,61.70000076293945,64.48799896240234,59.63800048828125,56.400001525878906,60.52799987792969
10,Tesla,2018-11-08,shooting_star,70.27999877929688,70.80000305175781,69.95600128173828,68.94000244140625,69.4219970703125,69.71600341796875,71.13999938964844,73.3499984741211,69.95999908447266,70.62000274658203,67.5,70.31999969482422,73.19599914550781,73.13999938964844,62.900001525878906
11,Tesla,2020-10-02,shooting_star,415.0899963378906,433.6400146484375,428.7799987792969,429.8999938964844,439.0,434.5899963378906,448.739990234375,448.8900146484375,465.8999938964844,456.57000732421875,455.95001220703125,422.8900146484375,407.5899963378906,436.57000732421875,412.5299987792969
12,Microsoft,2015-05-11,shooting_star,47.369998931884766,47.68000030517578,48.31999969482422,48.81999969482422,48.90999984741211,48.220001220703125,47.810001373291016,47.93000030517578,47.599998474121094,47.349998474121094,46.880001068115234,47.349998474121094,45.939998626708984,46.2400016784668,46.279998779296875
13,Microsoft,2016-07-26,shooting_star,56.7599983215332,56.79999923706055,56.369998931884766,56.7599983215332,56.75,56.900001525878906,57.11000061035156,57.52000045776367,58.209999084472656,58.09000015258789,58.5,57.619998931884766,58.18000030517578,58.189998626708984,57.84000015258789
14,Microsoft,2016-08-29,shooting_star,58.099998474121094,58.189998626708984,57.79999923706055,57.81999969482422,58.189998626708984,57.79999923706055,57.84000015258789,57.790000915527344,57.52000045776367,57.209999084472656,56.650001525878906,57.349998474121094,58.060001373291016,57.599998474121094,58.02000045776367
15,Microsoft,2016-12-27,shooting_star,63.279998779296875,63.400001525878906,63.20000076293945,62.9900016784668,62.84000015258789,62.75,62.65999984741211,63.150001525878906,63.08000183105469,63.06999969482422,63.22999954223633,62.97999954223633,64.54000091552734,63.40999984741211,64.44000244140625
16,McDonalds,2016-12-29,shooting_star,122.79000091552734,123.16000366210938,122.0,119.73999786376953,120.19999694824219,121.5,121.05999755859375,120.8499984741211,121.5,122.30999755859375,122.23999786376953,122.08000183105469,123.20999908447266,124.9000015258789,126.68000030517578
17,McDonalds,2018-11-21,shooting_star,182.72000122070312,183.0,184.08999633789062,184.63999938964844,188.0500030517578,190.8800048828125,189.22999572753906,188.4199981689453,188.0800018310547,185.75,187.1999969482422,185.25999450683594,177.64999389648438,177.8000030517578,182.2899932861328
18,McDonalds,2019-03-22,shooting_star,186.80999755859375,186.4600067138672,188.8800048828125,188.66000366210938,189.4499969482422,190.52000427246094,190.85000610351562,188.9499969482422,189.24000549316406,190.72999572753906,191.24000549316406,192.27999877929688,194.72999572753906,198.36000061035156,199.17999267578125
