,Name,Date,Pattern,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days,High after 15 days,High after 20 days,High after 25 days,High after 30 days
0,Apple,2015-02-13,hanging_man,31.770000457763672,32.220001220703125,32.19499969482422,32.25749969482422,32.375,33.25,33.400001525878906,32.900001525878906,32.717498779296875,32.64250183105469,32.56999969482422,32.39250183105469,31.237499237060547,31.962499618530273,31.600000381469727
1,Google,2016-01-04,hanging_man,759.4400024414062,769.2000122070312,765.72998046875,755.3099975585938,750.1199951171875,735.0800170898438,748.3400268554688,753.0,739.8900146484375,724.1599731445312,725.3499755859375,739.4600219726562,810.3499755859375,720.9600219726562,733.760009765625
2,Google,2016-07-28,hanging_man,765.8400268554688,803.9400024414062,807.489990234375,802.3200073242188,799.5399780273438,800.2000122070312,807.219970703125,807.5999755859375,813.3300170898438,810.8800048828125,813.8800048828125,808.0,794.719970703125,792.8900146484375,801.75
3,Google,2016-09-16,hanging_man,797.969970703125,803.989990234375,802.75,805.9099731445312,819.0599975585938,817.0,810.0800170898438,813.489990234375,810.25,813.9099731445312,808.0900268554688,805.9400024414062,810.0900268554688,824.2899780273438,839.0
4,Google,2016-12-21,hanging_man,812.2000122070312,811.0700073242188,810.969970703125,816.0,813.3300170898438,805.75,803.2899780273438,811.4400024414062,813.4299926757812,813.739990234375,828.9600219726562,834.6500244140625,845.5399780273438,837.22998046875,822.3900146484375
5,Google,2017-01-18,hanging_man,829.02001953125,833.0,829.239990234375,845.5399780273438,851.52001953125,858.7899780273438,861.0,867.0,837.22998046875,823.0700073242188,824.0,834.25,841.77001953125,852.6199951171875,856.489990234375
6,Google,2018-01-26,hanging_man,1187.56005859375,1198.0,1187.9300537109375,1186.3199462890625,1187.449951171875,1131.300048828125,1114.989990234375,1087.3800048828125,1086.530029296875,1063.9300537109375,1051.719970703125,1108.31005859375,1144.199951171875,1101.1800537109375,1178.1600341796875
7,Google,2019-02-07,hanging_man,1105.9100341796875,1105.0999755859375,1113.4300537109375,1132.8599853515625,1142.8499755859375,1136.1300048828125,1139.300048828125,1129.6400146484375,1130.9300537109375,1119.1500244140625,1117.25,1150.0,1153.449951171875,1201.719970703125,1233.6300048828125
8,Amazon,2015-12-23,hanging_man,663.7000122070312,664.6799926757812,675.5,696.4400024414062,695.489990234375,687.75,657.719970703125,646.9099731445312,639.7899780273438,630.0,624.1400146484375,584.6199951171875,608.5,581.7999877929688,493.5
9,Amazon,2020-06-16,hanging_man,2615.27001953125,2655.0,2659.639892578125,2697.429931640625,2715.0,2783.110107421875,2796.0,2756.22998046875,2782.570068359375,2696.800048828125,2769.6298828125,3083.969970703125,3098.35009765625,3150.0,3039.159912109375
10,Tesla,2015-02-17,hanging_man,40.869998931884766,41.23400115966797,42.487998962402344,43.52000045776367,43.63999938964844,41.45800018310547,41.428001403808594,42.21799850463867,41.709999084472656,40.667999267578125,40.04800033569336,38.70000076293945,39.742000579833984,40.757999420166016,38.75199890136719
11,Tesla,2017-06-15,hanging_man,75.06800079345703,75.60199737548828,75.33999633789062,75.7760009765625,75.39800262451172,77.0,77.39800262451172,77.38999938964844,75.27999877929688,74.3479995727539,74.19999694824219,63.400001525878906,65.68399810791016,66.25199890136719,67.91999816894531
12,Tesla,2020-02-20,hanging_man,179.8820037841797,182.61199951171875,172.6999969482422,171.32000732421875,162.66200256347656,147.95399475097656,138.10400390625,148.73800659179688,161.39599609375,153.3040008544922,149.14999389648438,118.9000015258789,90.4000015258789,112.0,98.85199737548828
13,Microsoft,2016-01-29,hanging_man,55.09000015258789,55.09000015258789,54.2599983215332,53.38999938964844,52.810001373291016,52.0,49.56999969482422,50.2400016784668,50.38999938964844,50.11000061035156,50.68000030517578,53.0,51.650001525878906,51.79999923706055,53.59000015258789
14,Microsoft,2016-03-11,hanging_man,53.06999969482422,53.59000015258789,53.59000015258789,54.599998474121094,55.0,54.970001220703125,53.93000030517578,54.25,54.2400016784668,54.33000183105469,54.290000915527344,55.65999984741211,55.150001525878906,56.59000015258789,52.130001068115234
15,Microsoft,2017-08-02,hanging_man,72.26000213623047,72.44000244140625,73.04000091552734,72.9000015258789,73.12999725341797,72.51000213623047,72.19000244140625,72.69999694824219,73.72000122070312,73.58999633789062,74.0999984741211,73.1500015258789,74.20999908447266,74.5999984741211,75.48999786376953
16,Microsoft,2018-01-11,hanging_man,88.08000183105469,89.77999877929688,90.79000091552734,90.27999877929688,90.66999816894531,90.61000061035156,91.62000274658203,92.30000305175781,93.43000030517578,93.23999786376953,94.05999755859375,93.97000122070312,88.93000030517578,93.5,95.44999694824219
17,Microsoft,2018-02-23,hanging_man,94.05999755859375,95.44999694824219,95.83999633789062,95.70999908447266,94.56999969482422,93.1500015258789,94.2699966430664,94.48999786376953,93.94000244140625,95.0999984741211,96.54000091552734,95.37999725341797,90.45999908447266,90.87999725341797,93.16999816894531
18,Microsoft,2018-08-03,hanging_man,108.04000091552734,108.41999816894531,109.0999984741211,109.75,110.16000366210938,109.69000244140625,109.58000183105469,109.75,108.98999786376953,108.86000061035156,107.9000015258789,108.55999755859375,112.77999877929688,109.63999938964844,113.69999694824219
19,Microsoft,2019-05-29,hanging_man,124.94000244140625,125.76000213623047,124.62000274658203,124.37000274658203,123.27999877929688,125.87000274658203,127.97000122070312,132.25,134.0800018310547,134.24000549316406,131.97000122070312,135.92999267578125,135.74000549316406,137.74000549316406,139.22000122070312
