Name,Date
Apple,2020-03-24
Google,2018-03-29
Google,2019-05-03
Google,2021-10-01
Tim Hortons,2018-10-31
Tim Hortons,2021-08-23
Wendys,2021-07-20
Pizza Hut,2019-09-17
Sunpower Corporation,2016-05-11
Sunpower Corporation,2020-03-17
Suncor,2015-07-28
Suncor,2016-01-21
Suncor,2016-09-02
Pfizer Inc,2015-07-07
AbbVie Inc,2019-03-26
Johnson & Johnson,2020-04-02
