Name	Date
Tim Hortons	2020-06-25
Tim Hortons	2020-07-01
Tim Hortons	2020-10-07
Tim Hortons	2020-10-20
Tim Hortons	2021-03-02
Tim Hortons	2021-04-23
Tim Hortons	2021-06-15
Tim Hortons	2021-06-16
Tim Hortons	2021-06-25
Tim Hortons	2021-06-29
Tim Hortons	2021-07-08
Tim Hortons	2021-08-13
Tim Hortons	2021-10-20
Wendys	2015-02-06
Wendys	2015-03-18
Wendys	2015-05-05
Wendys	2015-05-21
Wendys	2015-05-27
Wendys	2015-08-03
Wendys	2015-09-16
Wendys	2015-10-27
Wendys	2015-12-28
Wendys	2016-02-17
Wendys	2016-02-24
Wendys	2016-04-28
Wendys	2016-05-27
Wendys	2016-07-05
Wendys	2016-08-02
Wendys	2017-01-26
Wendys	2017-02-06
Wendys	2017-05-02
Wendys	2017-06-07
Wendys	2017-07-10
Wendys	2017-09-28
Wendys	2018-01-23
Wendys	2018-03-14
Wendys	2018-04-05
Wendys	2018-05-01
Wendys	2018-05-07
Wendys	2018-07-11
Wendys	2018-11-05
Wendys	2018-12-10
Wendys	2018-12-12
Wendys	2018-12-13
Wendys	2019-06-07
Wendys	2019-07-16
Wendys	2019-10-01
Wendys	2020-03-25
Wendys	2020-05-11
Wendys	2020-08-21
Wendys	2020-09-01
Wendys	2020-09-02
Wendys	2020-10-14
Wendys	2020-10-29
Wendys	2020-11-20
Wendys	2021-01-06
Wendys	2021-04-19
Wendys	2021-05-06
Wendys	2021-10-05
Pizza Hut	2015-05-20
Pizza Hut	2015-05-26
Pizza Hut	2015-07-27
Pizza Hut	2015-08-14
Pizza Hut	2015-09-17
Pizza Hut	2016-02-23
Pizza Hut	2016-03-10
Pizza Hut	2016-03-17
Pizza Hut	2016-04-20
Pizza Hut	2016-07-07
Pizza Hut	2016-08-30
Pizza Hut	2016-11-28
Pizza Hut	2016-12-22
Pizza Hut	2017-01-11
Pizza Hut	2017-06-20
Pizza Hut	2017-08-15
Pizza Hut	2017-08-18
Pizza Hut	2017-12-07
Pizza Hut	2018-01-31
Pizza Hut	2018-02-20
Pizza Hut	2018-04-17
Pizza Hut	2018-04-25
Pizza Hut	2018-05-04
Pizza Hut	2018-05-08
Pizza Hut	2018-08-15
Pizza Hut	2018-09-19
Pizza Hut	2018-11-15
Pizza Hut	2018-11-20
Pizza Hut	2018-12-28
Pizza Hut	2019-01-23
Pizza Hut	2019-01-24
Pizza Hut	2019-02-26
Pizza Hut	2019-07-03
Pizza Hut	2020-02-21
Pizza Hut	2020-08-14
Pizza Hut	2020-09-17
Pizza Hut	2020-09-28
Pizza Hut	2021-01-13
Pizza Hut	2021-03-23
Pizza Hut	2021-04-23
Pizza Hut	2021-08-04
Pizza Hut	2021-08-06
Pizza Hut	2021-08-31
NRG Energy Inc	2015-03-16
NRG Energy Inc	2015-04-16
NRG Energy Inc	2015-04-17
NRG Energy Inc	2015-07-17
NRG Energy Inc	2015-11-18
NRG Energy Inc	2016-01-08
NRG Energy Inc	2016-02-05
NRG Energy Inc	2016-04-29
NRG Energy Inc	2016-05-24
NRG Energy Inc	2016-10-12
NRG Energy Inc	2016-10-21
NRG Energy Inc	2016-11-08
