,Name,Date,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days
0,Apple,2016-06-09,24.912500381469727,24.837499618530273,24.780000686645508,24.6200008392334,24.602500915527344,24.4375,24.162500381469727,24.142499923706055,24.087499618530273,24.22249984741211,24.072500228881836
1,Apple,2016-07-06,23.88249969482422,24.125,24.22249984741211,24.412500381469727,24.424999237060547,24.417499542236328,24.747499465942383,24.825000762939453,25.032499313354492,25.0,25.114999771118164
2,Apple,2017-07-13,36.942501068115234,37.33250045776367,37.724998474121094,37.532501220703125,37.85499954223633,37.935001373291016,37.61000061035156,38.11000061035156,38.459999084472656,38.48249816894531,38.497501373291016
3,Google,2016-05-06,725.1799926757812,734.2899780273438,740.0,740.7999877929688,735.3699951171875,731.2899780273438,732.6799926757812,735.8499755859375,725.5700073242188,720.5,727.7000122070312
4,Google,2016-07-06,708.969970703125,710.1699829101562,717.9000244140625,728.9299926757812,735.5999755859375,735.52001953125,736.1400146484375,741.0,755.1400146484375,756.5900268554688,760.6400146484375
5,Google,2017-08-29,935.75,945.8599853515625,957.2000122070312,958.3300170898438,951.3900146484375,944.5,950.5,950.7000122070312,952.6799926757812,948.0900268554688,952.8499755859375
6,Google,2018-09-11,1189.989990234375,1190.68994140625,1187.8599853515625,1188.0,1181.8199462890625,1181.3299560546875,1176.27001953125,1194.0,1196.5799560546875,1185.18994140625,1196.8599853515625
7,Google,2018-10-23,1114.9100341796875,1116.6199951171875,1117.8199462890625,1117.0,1108.8299560546875,1050.9000244140625,1108.0,1099.9000244140625,1098.0,1073.3499755859375,1079.8199462890625
8,Amazon,2017-08-29,954.0599975585938,969.4099731445312,981.0,984.5,976.77001953125,971.8400268554688,980.5900268554688,979.8800048828125,981.9400024414062,984.6699829101562,1000.0
9,Amazon,2017-10-04,965.4500122070312,981.510009765625,995.75,998.5,997.9500122070312,995.5,1008.4400024414062,1007.77001953125,1009.5700073242188,1011.469970703125,1022.3099975585938
10,Amazon,2018-03-29,1447.3399658203125,1421.3599853515625,1414.0,1415.3900146484375,1459.56005859375,1452.5,1438.47998046875,1438.3800048828125,1448.780029296875,1452.1199951171875,1459.780029296875
11,Amazon,2019-01-02,1539.1300048828125,1538.0,1594.0,1634.56005859375,1676.6099853515625,1667.800048828125,1663.25,1660.2900390625,1648.199951171875,1675.1600341796875,1705.0
12,Amazon,2019-08-07,1793.4000244140625,1834.260009765625,1831.0899658203125,1800.97998046875,1831.739990234375,1795.6500244140625,1788.0,1802.9100341796875,1826.0,1816.8199462890625,1829.5799560546875
13,Amazon,2019-08-13,1824.3399658203125,1795.6500244140625,1788.0,1802.9100341796875,1826.0,1816.8199462890625,1829.5799560546875,1829.4100341796875,1804.9000244140625,1770.0,1779.4000244140625
14,Amazon,2021-03-17,3135.72998046875,3116.6298828125,3077.2900390625,3126.580078125,3182.0,3160.31005859375,3109.780029296875,3056.659912109375,3091.25,3073.0,3119.330078125
15,Tesla,2016-06-06,44.13600158691406,46.88800048828125,48.16999816894531,47.066001892089844,45.59400177001953,45.15399932861328,44.439998626708984,44.380001068115234,43.608001708984375,43.99800109863281,44.75
16,Tesla,2016-07-01,43.29999923706055,42.90800094604492,43.04600143432617,43.624000549316406,43.96200180053711,45.35599899291992,45.5,45.11800003051758,44.987998962402344,44.54999923706055,45.417999267578125
17,Tesla,2017-07-18,65.64800262451172,66.33000183105469,66.04399871826172,66.25199890136719,68.68000030517578,69.12000274658203,69.0999984741211,69.5,67.91999816894531,68.2979965209961,64.88999938964844
18,Tesla,2017-08-02,65.1780014038086,70.0,71.4540023803711,71.89600372314453,73.71600341796875,74.0,73.33000183105469,72.25199890136719,73.53199768066406,73.0979995727539,73.30000305175781
19,Tesla,2017-10-03,69.62799835205078,71.7239990234375,71.48799896240234,72.0199966430664,70.3499984741211,71.1259994506836,71.5199966430664,71.95600128173828,71.697998046875,70.89600372314453,71.24400329589844
20,Tesla,2018-02-13,64.73200225830078,65.23400115966797,66.8239974975586,68.6240005493164,68.16799926757812,67.93800354003906,69.48799896240234,70.99800109863281,71.80000305175781,71.99800109863281,71.0479965209961
21,Tesla,2018-03-29,53.22600173950195,52.066001892089844,54.66999816894531,57.67399978637695,61.25199890136719,61.85599899291992,61.900001525878906,61.41999816894531,61.79600143432617,60.790000915527344,60.790000915527344
22,Tesla,2018-04-04,57.38800048828125,61.25199890136719,61.85599899291992,61.900001525878906,61.41999816894531,61.79600143432617,60.790000915527344,60.790000915527344,59.93199920654297,58.433998107910156,60.04800033569336
23,Tesla,2018-04-26,57.09600067138672,58.89400100708008,59.74599838256836,60.16400146484375,61.369998931884766,57.608001708984375,59.37200164794922,61.19200134277344,61.54999923706055,61.402000427246094,62.597999572753906
24,Tesla,2019-02-05,64.2699966430664,64.8479995727539,62.939998626708984,61.4900016784668,63.720001220703125,63.63800048828125,62.54999923706055,61.354000091552734,61.599998474121094,62.30799865722656,61.2599983215332
25,Tesla,2019-04-16,54.672000885009766,54.95800018310547,54.96799850463867,53.93600082397461,53.119998931884766,53.06399917602539,51.79999923706055,49.33599853515625,48.79600143432617,48.84199905395508,48.0
26,Tesla,2019-05-03,51.00600051879883,51.66999816894531,51.44200134277344,50.119998931884766,48.736000061035156,48.39799880981445,46.49399948120117,46.900001525878906,46.487998962402344,46.20000076293945,44.448001861572266
