,Name,Date,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days
0,Apple,2015-11-16,28.545000076293945,28.762500762939453,29.372499465942383,29.9375,29.979999542236328,29.9325008392334,29.837499618530273,29.8075008392334,29.602500915527344,29.852500915527344,29.702499389648438
1,Apple,2016-02-24,24.024999618530273,24.190000534057617,24.5049991607666,24.5575008392334,25.1924991607666,25.22249984741211,25.427499771118164,25.9375,25.707500457763672,25.440000534057617,25.395000457763672
2,Apple,2016-06-16,24.387500762939453,24.162500381469727,24.142499923706055,24.087499618530273,24.22249984741211,24.072500228881836,23.665000915527344,23.262500762939453,23.415000915527344,23.637500762939453,23.9424991607666
3,Apple,2016-06-21,23.977500915527344,24.22249984741211,24.072500228881836,23.665000915527344,23.262500762939453,23.415000915527344,23.637500762939453,23.9424991607666,24.11750030517578,23.850000381469727,23.915000915527344
4,Apple,2020-09-21,110.08000183105469,112.86000061035156,112.11000061035156,110.25,112.44000244140625,115.31999969482422,115.30999755859375,117.26000213623047,117.72000122070312,115.37000274658203,116.6500015258789
5,Google,2018-02-06,1084.4300537109375,1086.530029296875,1063.9300537109375,1051.719970703125,1065.5699462890625,1061.219970703125,1075.469970703125,1094.0999755859375,1108.31005859375,1116.2900390625,1136.199951171875
6,Google,2019-07-09,1124.2900390625,1142.3399658203125,1153.239990234375,1147.5,1150.6800537109375,1158.5799560546875,1158.43994140625,1148.1700439453125,1151.5799560546875,1140.02001953125,1148.8599853515625
7,Google,2020-02-28,1339.25,1387.469970703125,1408.18994140625,1382.780029296875,1353.6300048828125,1302.75,1252.72998046875,1275.8499755859375,1256.9300537109375,1188.75,1214.4000244140625
8,Amazon,2016-02-19,534.9000244140625,560.6500244140625,556.9099731445312,554.27001953125,559.3900146484375,562.5,564.8099975585938,579.25,585.0,579.8699951171875,581.4000244140625
