,Name,Date,Pattern,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days,High after 15 days,High after 20 days,High after 25 days,High after 30 days,Up/down after 1 day,Up/down after 2 day,Up/down after 3 day,Up/down after 4 day,Up/down after 5 day,Up/down after 6 day,Up/down after 7 day,Up/down after 8 day,Up/down after 9 day,Up/down after 10 day,Up/down after 15 day,Up/down after 20 day,Up/down after 25 day,Up/down after 30 day,% change after 1 days,% change after 2 days,% change after 3 days,% change after 4 days,% change after 5 days,% change after 6 days,% change after 7 days,% change after 8 days,% change after 9 days,% change after 10 days,% change after 15 days,% change after 20 days,% change after 25 days,% change after 30 days
13,Tim Hortons,2015-05-27,hammer,38.72999954,38.81999969,38.79999924,38.81999969,39.04000092,39.16999817,39.04999924,39.36999893,39.43000031,38.25999832,38.72999954,37.63000107,38.52999878,39.59000015,39.33000183,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0.23%,0.18%,0.23%,0.80%,1.14%,0.83%,1.65%,1.81%,-1.21%,0.00%,-2.84%,-0.52%,2.22%,1.55%
14,Tim Hortons,2019-10-02,hammer,70.66999817,71.68000031,71.90000153,71.94000244,70.93000031,71.45999908,71.93000031,72.19999695,71.05999756,70.65000153,69.72000122,67.95999908,65.58999634,66.37000275,68.13999939,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1.43%,1.74%,1.80%,0.37%,1.12%,1.78%,2.17%,0.55%,-0.03%,-1.34%,-3.84%,-7.19%,-6.09%,-3.58%
15,Tim Hortons,2021-02-08,hammer,59.90000153,60.54000092,60.25999832,59.79000092,59.11000061,59.93000031,59.59999847,60.86000061,61.22000122,61.74000168,61.06999969,63.43000031,65.62999725,64.09999847,65.43000031,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1.07%,0.60%,-0.18%,-1.32%,0.05%,-0.50%,1.60%,2.20%,3.07%,1.95%,5.89%,9.57%,7.01%,9.23%
16,Wendys,2015-07-07,hammer,10.60000038,10.63000011,10.61999989,10.64000034,10.65999985,10.56999969,10.53999996,10.43999958,10.40999985,10.35000038,10.30000019,10.27999973,10.35999966,9.909999847,10.13000011,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.28%,0.19%,0.38%,0.57%,-0.28%,-0.57%,-1.51%,-1.79%,-2.36%,-2.83%,-3.02%,-2.26%,-6.51%,-4.43%
17,Wendys,2018-12-31,hammer,15.60999966,15.65999985,15.77000046,16.02000046,16.28000069,16.36000061,16.51000023,16.51000023,16.53000069,16.53000069,16.5,17.20000076,17.44000053,17.63999939,17.82999992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.32%,1.03%,2.63%,4.29%,4.81%,5.77%,5.77%,5.89%,5.89%,5.70%,10.19%,11.72%,13.00%,14.22%
18,Wendys,2019-01-18,hammer,16.43000031,16.72999954,17.20000076,17.39999962,17.54999924,17.51000023,17.52000046,17.44000053,17.47999954,17.35000038,17.48999977,17.92000008,18.09000015,17.26000023,17.45000076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.83%,4.69%,5.90%,6.82%,6.57%,6.63%,6.15%,6.39%,5.60%,6.45%,9.07%,10.10%,5.05%,6.21%
19,Wendys,2020-03-02,hammer,19.62000084,20.12999916,20.06999969,19.68000031,19.30999947,18.87000084,19.94000053,19.52000046,16.47999954,17.21999931,15,12.11999989,15,14.85000038,17.54000092,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2.60%,2.29%,0.31%,-1.58%,-3.82%,1.63%,-0.51%,-16.00%,-12.23%,-23.55%,-38.23%,-23.55%,-24.31%,-10.60%
20,Wendys,2020-04-03,hammer,13.06000042,14.85000038,16.30999947,16.51000023,17.48999977,17.13999939,17.54000092,16.93000031,17.42000008,18.47999954,18.45999908,19.93000031,19.29000092,21.36000061,21.80999947,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13.71%,24.89%,26.42%,33.92%,31.24%,34.30%,29.63%,33.38%,41.50%,41.35%,52.60%,47.70%,63.55%,67.00%
21,Wendys,2020-11-30,hammer,21.98999977,22.26000023,22.04999924,22.02000046,22.28000069,22.23999977,22.21999931,22.57999992,22.5,22.38999939,22.62999916,22.87999916,22.82999992,21.79999924,20.81999969,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.23%,0.27%,0.14%,1.32%,1.14%,1.05%,2.68%,2.32%,1.82%,2.91%,4.05%,3.82%,-0.86%,-5.32%
22,Wendys,2021-07-06,hammer,23.07999992,23.02000046,22.79000092,23.18000031,23.13999939,22.89999962,22.92000008,22.47999954,22.54999924,21.96999931,22.37999916,23.61000061,23.34000015,22.26000023,23.65999985,0,0,1,1,0,0,0,0,0,0,1,1,0,1,-0.26%,-1.26%,0.43%,0.26%,-0.78%,-0.69%,-2.60%,-2.30%,-4.81%,-3.03%,2.30%,1.13%,-3.55%,2.51%
