,Name,Date,Pattern,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days,High after 15 days,High after 20 days,High after 25 days,High after 30 days,Up/down after 1 day,Up/down after 2 day,Up/down after 3 day,Up/down after 4 day,Up/down after 5 day,Up/down after 6 day,Up/down after 7 day,Up/down after 8 day,Up/down after 9 day,Up/down after 10 day,Up/down after 15 day,Up/down after 20 day,Up/down after 25 day,Up/down after 30 day,% change after 1 days,% change after 2 days,% change after 3 days,% change after 4 days,% change after 5 days,% change after 6 days,% change after 7 days,% change after 8 days,% change after 9 days,% change after 10 days,% change after 15 days,% change after 20 days,% change after 25 days,% change after 30 days
57,AbbVie Inc,2020-03-10,hammer,87.52999878,86.63999939,81.29000092,86.31999969,82.18000031,77.70999908,71.38999939,74.84999847,73,67.75,71.81999969,77.91999817,78.58000183,83.04000092,82.44999695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02%,-7.13%,-1.38%,-6.11%,-11.22%,-18.44%,-14.49%,-16.60%,-22.60%,-17.95%,-10.98%,-10.23%,-5.13%,-5.80%
58,Merck and Co Inc,2015-12-21,hammer,49.49427414,49.83778763,50.782444,50.69656372,50.61068726,51.15457916,51.12595367,50.84923553,50.20038223,51.02099228,50.52481079,49.67557144,48.96946716,48.22518921,47.46183014,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.69%,2.60%,2.43%,2.26%,3.36%,3.30%,2.74%,1.43%,3.09%,2.08%,0.37%,-1.06%,-2.56%,-4.11%
59,Merck and Co Inc,2016-12-07,hammer,57.30915833,57.59542084,58.69274902,59.25572586,59.12213516,59.88549423,59.77099228,60.14313126,59.41793823,58.8549614,58.02481079,56.86068726,57.69084167,59.80915833,59.54198456,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.50%,2.41%,3.40%,3.16%,4.50%,4.30%,4.95%,3.68%,2.70%,1.25%,-0.78%,0.67%,4.36%,3.90%
60,Merck and Co Inc,2017-10-24,hammer,60.21946716,60.23854828,59.8187027,57.77671814,53.48282242,53.23473358,53.24427414,53.02481079,53.70228958,53.60686874,53.61641312,52.65267181,52.33778763,53.1011467,53.36832047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03%,-0.67%,-4.06%,-11.19%,-11.60%,-11.58%,-11.95%,-10.82%,-10.98%,-10.97%,-12.57%,-13.09%,-11.82%,-11.38%
61,Merck and Co Inc,2019-09-10,hammer,77.94847107,79.30343628,80.22901154,79.74236298,78.67366028,79.67557526,79.46565247,80.43893433,81.93701935,81.31679535,80.99236298,80.72518921,80.54389191,81.2022934,78.89312744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.74%,2.93%,2.30%,0.93%,2.22%,1.95%,3.20%,5.12%,4.32%,3.91%,3.56%,3.33%,4.17%,1.21%
62,Merck and Co Inc,2020-11-19,hammer,76.70801544,77.10877991,77.44274902,77.185112,76.77481079,76.98473358,76.85114288,78.68320465,78.95037842,78.21565247,78.20610809,79.59923553,76.50763702,77.42366028,77.67175293,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.52%,0.96%,0.62%,0.09%,0.36%,0.19%,2.58%,2.92%,1.97%,1.95%,3.77%,-0.26%,0.93%,1.26%
63,Novartis,2016-02-03,hammer,68.55735016,67.77777863,67.27598572,65.83333588,65.60035706,66.41577148,65.0358429,65.19713593,65.96774292,66.08422852,66.71147156,65.09856415,65.43010712,66.49641418,65.90502167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.14%,-1.87%,-3.97%,-4.31%,-3.12%,-5.14%,-4.90%,-3.78%,-3.61%,-2.69%,-5.05%,-4.56%,-3.01%,-3.87%
64,Novartis,2018-12-10,hammer,77.86738586,78.8888855,79.75806427,79.3817215,78.7723999,77.75985718,77.00717163,77.00717163,76.32616425,75.59140015,74.80286407,76.21863556,78.13619995,79.13082123,78.01971436,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1.31%,2.43%,1.95%,1.16%,-0.14%,-1.11%,-1.11%,-1.98%,-2.92%,-3.94%,-2.12%,0.35%,1.62%,0.20%
65,Johnson & Johnson,2016-11-17,hammer,116.5699997,115.9199982,115.6800003,115,113.4300003,114.2300034,114.1200027,113.4100037,112.5199966,111.5400009,112.5299988,112.4300003,116.4599991,116.3199997,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.56%,-0.76%,-1.35%,-2.69%,-2.01%,-2.10%,-2.71%,-3.47%,-4.32%,-3.47%,-3.55%,-0.09%,-0.21%,-0.49%
66,Johnson & Johnson,2017-05-05,hammer,123.5100021,123.8000031,123.4700012,123.0599976,123.2099991,124.0999985,127.3600006,128.3699951,127.8899994,127.8700027,127.3899994,127.6699982,130.5200043,131.8300018,134.6799927,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.24%,-0.03%,-0.36%,-0.24%,0.48%,3.12%,3.94%,3.55%,3.53%,3.14%,3.37%,5.68%,6.74%,9.04%
67,Johnson & Johnson,2018-10-12,hammer,133.8699951,135.3000031,137.9900055,140,139.8099976,140,139.2599945,139.4900055,140.1100006,139.0899963,139.3000031,142,145.7400055,146.7400055,142.0500031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.07%,3.08%,4.58%,4.44%,4.58%,4.03%,4.20%,4.66%,3.90%,4.06%,6.07%,8.87%,9.61%,6.11%
68,Johnson & Johnson,2020-06-25,hammer,139.6699982,139.6000061,139.6999969,141.0200043,141.3899994,141.8399963,143.7700043,143.9700012,143.3899994,144.4299927,142.8699951,150.5800018,150.6000061,147.4499969,148.6499939,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.05%,0.02%,0.97%,1.23%,1.55%,2.94%,3.08%,2.66%,3.41%,2.29%,7.81%,7.83%,5.57%,6.43%
69,Apple,2016-05-13,inv_hammer,22.62999916,23.59749985,23.67499924,23.80249977,23.65999985,23.85750008,24.29750061,24.52249908,24.93499947,25.18250084,25.11750031,25.47249985,24.78000069,24.14249992,23.26250076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.28%,4.62%,5.18%,4.55%,5.42%,7.37%,8.36%,10.19%,11.28%,10.99%,12.56%,9.50%,6.68%,2.80%
70,Google,2016-06-13,inv_hammer,731.8800049,736,737.1500244,730.3900146,721.3900146,715.8699951,715.3800049,714.210022,714.8800049,705,683.3300171,708.1199951,735.5999756,756.5900269,759.2600098,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.56%,0.72%,-0.20%,-1.43%,-2.19%,-2.25%,-2.41%,-2.32%,-3.67%,-6.63%,-3.25%,0.51%,3.38%,3.74%
71,Microsoft,2016-06-07,inv_hammer,52.09999847,52.43999863,52,52.04999924,50.72000122,50.09999847,50.11999893,50.47000122,50.43000031,50.83000183,51.43000031,49.47000122,51.54000092,53.86000061,56.84000015,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.65%,-0.19%,-0.10%,-2.65%,-3.84%,-3.80%,-3.13%,-3.21%,-2.44%,-1.29%,-5.05%,-1.08%,3.38%,9.10%
72,Microsoft,2016-06-15,inv_hammer,49.68999863,50.47000122,50.43000031,50.83000183,51.43000031,51.45999908,52.06000137,50.93999863,49.15000153,49.47000122,50.72000122,51.61000061,53.99000168,56.22999954,56.36999893,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1.57%,1.49%,2.29%,3.50%,3.56%,4.77%,2.52%,-1.09%,-0.44%,2.07%,3.86%,8.65%,13.16%,13.44%
73,McDonalds,2015-06-11,inv_hammer,95.58999634,95.55000305,95,94.66999817,95.51999664,96.62999725,97.13999939,97.02999878,97.95999908,97.44999695,96.91000366,96.59999847,97.77999878,98.22000122,97.41000366,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-0.04%,-0.62%,-0.96%,-0.07%,1.09%,1.62%,1.51%,2.48%,1.95%,1.38%,1.06%,2.29%,2.75%,1.90%
74,McDonalds,2015-06-24,inv_hammer,96.63999939,96.91000366,97.34999847,97.23000336,96.30000305,95.81999969,96.59999847,96.27999878,96.77999878,96.58999634,97.26999664,99.11000061,99,99.33999634,100.1800003,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0.28%,0.74%,0.61%,-0.35%,-0.85%,-0.04%,-0.37%,0.15%,-0.05%,0.65%,2.56%,2.44%,2.79%,3.66%
75,McDonalds,2015-07-08,inv_hammer,95.83999634,97.26999664,97.77999878,98.51000214,99.05000305,99.62999725,99.11000061,98.22000122,98.20999908,97.72000122,98.25,98.38999939,100.1399994,98.43000031,101.8799973,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.49%,2.02%,2.79%,3.35%,3.96%,3.41%,2.48%,2.47%,1.96%,2.52%,2.66%,4.49%,2.70%,6.30%
76,McDonalds,2016-06-07,inv_hammer,121.9000015,122.4899979,123.0899963,122.6600037,123.9700012,123.1900024,123.3199997,122.6299973,122.7099991,124.0800018,124,118.6399994,120.9599991,123.0199966,126.8700027,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.48%,0.98%,0.62%,1.70%,1.06%,1.17%,0.60%,0.66%,1.79%,1.72%,-2.67%,-0.77%,0.92%,4.08%
77,McDonalds,2018-12-21,inv_hammer,174.1499939,175.2700043,174.0399933,175.7100067,177.5,177.8000031,176.3000031,176.4499969,179.1999969,181.8800049,182.2899933,183.2100067,186.1699982,187.7899933,177.5500031,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.64%,-0.06%,0.90%,1.92%,2.10%,1.24%,1.32%,2.90%,4.44%,4.67%,5.20%,6.90%,7.83%,1.95%
78,McDonalds,2021-03-01,inv_hammer,208.25,209.8999939,208.9900055,207.4900055,208.2299957,210.5899963,211.1999969,213.6300049,215.2299957,214.2400055,220.5500031,226.9100037,227.8800049,232.2700043,231.6600037,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.79%,0.36%,-0.37%,-0.01%,1.12%,1.42%,2.58%,3.35%,2.88%,5.91%,8.96%,9.43%,11.53%,11.24%
79,Tim Hortons,2015-09-09,inv_hammer,38.18000031,38.56999969,37.70999908,37.5,37.38000107,37.52000046,38.02999878,37.40999985,38.13000107,37.84999847,38.20000076,36.09999847,36.06999969,37.13999939,38.22999954,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.02%,-1.23%,-1.78%,-2.10%,-1.73%,-0.39%,-2.02%,-0.13%,-0.86%,0.05%,-5.45%,-5.53%,-2.72%,0.13%
80,Tim Hortons,2017-12-13,inv_hammer,61.54000092,62.04000092,61.72000122,61.63000107,61.25999832,61.40499878,62.18000031,61.86999893,61.34500122,61.34000015,61.88999939,64.18000031,61.41999817,61.61000061,61.59000015,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0.81%,0.29%,0.15%,-0.46%,-0.22%,1.04%,0.54%,-0.32%,-0.33%,0.57%,4.29%,-0.20%,0.11%,0.08%
81,Tim Hortons,2018-02-20,inv_hammer,59.22999954,59.77000046,59.11999893,59.54999924,59.68000031,59.13000107,59.59000015,59.61000061,58.09000015,58.22999954,58.11999893,59.77000046,59.06000137,57.95000076,58.00999832,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0.91%,-0.19%,0.54%,0.76%,-0.17%,0.61%,0.64%,-1.93%,-1.69%,-1.87%,0.91%,-0.29%,-2.16%,-2.06%
82,Tim Hortons,2020-01-07,inv_hammer,63.38999939,62.97000122,63.63999939,63.09000015,62.86999893,63.38999939,63.29999924,63.63999939,64.27999878,65.83000183,65.73999786,63.77999878,63.09999847,66.66000366,66.52999878,0,1,0,0,0,0,1,1,1,1,1,0,1,1,-0.66%,0.39%,-0.47%,-0.82%,0.00%,-0.14%,0.39%,1.40%,3.85%,3.71%,0.62%,-0.46%,5.16%,4.95%
83,Wendys,2015-04-10,inv_hammer,10.72000027,10.81000042,10.72999954,10.64999962,10.61999989,10.5,10.55000019,10.60999966,10.53999996,10.64999962,10.85000038,10.31999969,11.27999973,11.30000019,11.57999992,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0.84%,0.09%,-0.65%,-0.93%,-2.05%,-1.59%,-1.03%,-1.68%,-0.65%,1.21%,-3.73%,5.22%,5.41%,8.02%
84,Wendys,2015-04-22,inv_hammer,10.43999958,10.64999962,10.85000038,10.77000046,10.63000011,10.59000015,10.34000015,10.31999969,10.5,10.53999996,11.19999981,11.19999981,11.67000008,11.40999985,11.42000008,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2.01%,3.93%,3.16%,1.82%,1.44%,-0.96%,-1.15%,0.58%,0.96%,7.28%,7.28%,11.78%,9.29%,9.39%
85,Wendys,2016-06-21,inv_hammer,9.989999771,9.949999809,9.970000267,9.699999809,9.600000381,9.539999962,9.520000458,9.619999886,9.68999958,9.680000305,9.640000343,9.850000381,9.890000343,9.859999657,9.529999733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.40%,-0.20%,-2.90%,-3.90%,-4.51%,-4.71%,-3.70%,-3.00%,-3.10%,-3.50%,-1.40%,-1.00%,-1.30%,-4.61%
86,Wendys,2016-06-22,inv_hammer,9.81000042,9.970000267,9.699999809,9.600000381,9.539999962,9.520000458,9.619999886,9.68999958,9.680000305,9.640000343,9.609999657,9.819999695,9.909999847,9.779999733,9.75,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.63%,-1.12%,-2.14%,-2.75%,-2.96%,-1.94%,-1.22%,-1.33%,-1.73%,-2.04%,0.10%,1.02%,-0.31%,-0.61%
87,Wendys,2017-06-27,inv_hammer,15.31000042,15.65999985,15.55000019,15.64000034,15.60000038,15.64000034,15.60999966,15.71000004,15.68999958,15.84000015,15.94999981,15.72999954,16.03000069,15.46000004,16.17000008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.29%,1.57%,2.16%,1.89%,2.16%,1.96%,2.61%,2.48%,3.46%,4.18%,2.74%,4.70%,0.98%,5.62%
88,Wendys,2021-07-12,inv_hammer,22.89999962,22.89999962,22.92000008,22.47999954,22.54999924,21.96999931,22.37999916,22.81999969,22.95000076,23.13999939,23.03000069,23.40999985,22.32999992,23.87000084,23.92000008,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0.00%,0.09%,-1.83%,-1.53%,-4.06%,-2.27%,-0.35%,0.22%,1.05%,0.57%,2.23%,-2.49%,4.24%,4.45%
89,Pizza Hut,2017-03-31,inv_hammer,63.90000153,63.99000168,64.09999847,64.90000153,64.76999664,64.79000092,64.61000061,64.22000122,64.25,64.11000061,64.18000031,66,66.01000214,69.43000031,69.33000183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.14%,0.31%,1.57%,1.36%,1.39%,1.11%,0.50%,0.55%,0.33%,0.44%,3.29%,3.30%,8.65%,8.50%
90,Pizza Hut,2017-10-03,inv_hammer,73.91999817,74.31999969,74.91000366,76.16999817,76.29000092,76.73999786,77.02999878,76.84999847,76.5,76.77999878,76.79000092,75.73999786,75.15000153,81.25,80.05000305,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.54%,1.34%,3.04%,3.21%,3.82%,4.21%,3.96%,3.49%,3.87%,3.88%,2.46%,1.66%,9.92%,8.29%
91,Pizza Hut,2019-10-28,inv_hammer,109.5100021,110.5400009,103.5999985,103.3399963,102.2300034,100.4199982,98.69999695,100.6999969,100.3799973,100.1900024,99.58000183,99.02999878,98.22000122,100.8700027,99.41999817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94%,-5.40%,-5.63%,-6.65%,-8.30%,-9.87%,-8.05%,-8.34%,-8.51%,-9.07%,-9.57%,-10.31%,-7.89%,-9.21%
92,Pizza Hut,2021-09-27,inv_hammer,125.5699997,125.4899979,123.2099991,123.9599991,124.0899963,124.5599976,124.6299973,123.7300034,126.1999969,125.6699982,123.9000015,126.6699982,127.1999969,126.3799973,126.3799973,0,0,0,0,0,0,0,1,1,0,1,1,1,1,-0.06%,-1.88%,-1.28%,-1.18%,-0.80%,-0.75%,-1.47%,0.50%,0.08%,-1.33%,0.88%,1.30%,0.65%,0.65%
93,Pizza Hut,2021-10-27,inv_hammer,125.7900009,126.3799973,126.3799973,126.3799973,126.3799973,126.3799973,126.3799973,126.3799973,126.3799973,126.3799973,126.3799973,126.3799973,126.3799973,126.3799973,126.3799973,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%
94,Sunpower Corporation,2015-06-03,inv_hammer,20.28159714,20.3143425,20.6090374,20.62868309,20.18336678,21.08709908,21.04125786,21.19187927,21.60445213,21.50622177,21.80091667,21.15258789,18.98493767,17.80615616,18.12049866,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0.16%,1.61%,1.71%,-0.48%,3.97%,3.75%,4.49%,6.52%,6.04%,7.49%,4.29%,-6.39%,-12.21%,-10.66%
95,Sunpower Corporation,2017-03-31,inv_hammer,3.99476099,4.027504921,4.151931763,4.158481121,4.12573719,4.132286072,4.649640083,4.616896152,4.44662714,4.472823143,4.394237041,4.485919952,4.610346794,4.629992962,4.911591053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.82%,3.93%,4.10%,3.28%,3.44%,16.39%,15.57%,11.31%,11.97%,10.00%,12.30%,15.41%,15.90%,22.95%
96,Sunpower Corporation,2017-10-24,inv_hammer,4.531762123,4.577602863,4.44662714,4.708579063,4.898493767,4.813360214,4.780615807,5.605762959,5.664701939,5.939751148,5.75638485,5.697445869,5.324164867,5.776031017,5.160445213,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1.01%,-1.88%,3.90%,8.09%,6.21%,5.49%,23.70%,25.00%,31.07%,27.02%,25.72%,17.49%,27.46%,13.87%
97,Sunpower Corporation,2018-03-05,inv_hammer,4.747871876,4.891944885,4.911591053,4.911591053,4.937787056,4.819908142,4.819908142,4.780615807,4.754419804,4.728225231,4.911591053,5.435493946,5.068761826,5.559920788,5.514080048,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3.03%,3.45%,3.45%,4.00%,1.52%,1.52%,0.69%,0.14%,-0.41%,3.45%,14.48%,6.76%,17.10%,16.14%
98,Sunpower Corporation,2018-11-23,inv_hammer,3.968565941,4.695480824,4.813360214,4.891944885,4.806810856,4.584152222,4.649640083,4.544858932,4.44662714,4.538310051,4.381138802,4.047151089,3.320235968,3.392271996,3.588736057,1,1,1,1,1,1,1,1,1,1,1,0,0,0,18.32%,21.29%,23.27%,21.12%,15.51%,17.16%,14.52%,12.05%,14.36%,10.40%,1.98%,-16.34%,-14.52%,-9.57%
99,Sunpower Corporation,2019-01-14,inv_hammer,3.601834059,3.686968088,3.647675037,3.63457799,3.686968088,3.562541008,3.477406979,3.608381987,3.732809067,3.660773039,3.713162899,4.05369997,3.909626961,4.191225052,4.302554131,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2.36%,1.27%,0.91%,2.36%,-1.09%,-3.46%,0.18%,3.64%,1.64%,3.09%,12.55%,8.55%,16.36%,19.46%
100,Sunpower Corporation,2019-10-23,inv_hammer,6.129665852,6.247543812,6.06417799,6.267190933,6.286837101,6.149312019,6.863130093,5.87426281,5.854617119,5.651604176,5.81532383,5.625409126,5.559920788,4.983627796,4.891944885,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1.92%,-1.07%,2.24%,2.56%,0.32%,11.97%,-4.17%,-4.49%,-7.80%,-5.13%,-8.23%,-9.30%,-18.70%,-20.19%
101,Suncor,2016-09-22,inv_hammer,26.73999977,26.77000046,26.45999908,26.01000023,27.17000008,28.13999939,28.07999992,27.93000031,27.88999939,28.05999947,28.09000015,28.62000084,29.61000061,31.52000046,29.94000053,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.11%,-1.05%,-2.73%,1.61%,5.24%,5.01%,4.45%,4.30%,4.94%,5.05%,7.03%,10.73%,17.88%,11.97%
102,Suncor,2018-09-21,inv_hammer,39.04999924,39.88999939,40.04999924,39.43999863,39.59999847,39.45000076,39.79000092,39.79000092,40,40.08000183,40.02999878,36.79999924,35.90999985,34.11000061,34.31999969,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2.15%,2.56%,1.00%,1.41%,1.02%,1.90%,1.90%,2.43%,2.64%,2.51%,-5.76%,-8.04%,-12.65%,-12.11%
103,Pfizer Inc,2015-06-19,inv_hammer,32.42884445,32.73244858,32.81783676,32.75142288,32.58064651,32.53320694,32.37191772,32.05882263,32.12523651,32.67552185,31.91650963,33.06451416,33.55787659,32.63756943,34.44022751,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0.94%,1.20%,1.00%,0.47%,0.32%,-0.18%,-1.14%,-0.94%,0.76%,-1.58%,1.96%,3.48%,0.64%,6.20%
104,Pfizer Inc,2016-10-14,inv_hammer,30.98671722,31.0341568,31.18595886,31.16698265,31.06261826,30.78747559,30.7020874,30.71157455,30.9297905,31.12903214,30.89184189,28.81404114,31.63187981,30.31309319,30.20872879,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0.15%,0.64%,0.58%,0.25%,-0.64%,-0.92%,-0.89%,-0.18%,0.46%,-0.31%,-7.01%,2.08%,-2.17%,-2.51%
105,Pfizer Inc,2016-10-20,inv_hammer,30.87286568,30.78747559,30.7020874,30.71157455,30.9297905,31.12903214,30.89184189,30.39848137,30.09487724,29.44971466,29.12713432,32.09677505,30.4743824,30.11385155,30.1043644,0,0,0,1,1,1,0,0,0,0,1,0,0,0,-0.28%,-0.55%,-0.52%,0.18%,0.83%,0.06%,-1.54%,-2.52%,-4.61%,-5.66%,3.96%,-1.29%,-2.46%,-2.49%
106,Pfizer Inc,2017-04-26,inv_hammer,32.11574936,32.27703857,32.20113754,32.24857712,31.99241066,31.86907005,31.86907005,31.76470566,31.89753342,31.86907005,31.42314911,30.9297905,30.62618637,31.16698265,30.4554081,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.50%,0.27%,0.41%,-0.38%,-0.77%,-0.77%,-1.09%,-0.68%,-0.77%,-2.16%,-3.69%,-4.64%,-2.95%,-5.17%
107,Pfizer Inc,2017-06-12,inv_hammer,31.02466774,31.10056877,31.08159447,31.33776093,31.43263817,31.54648972,32.02087402,32.35293961,32.71347046,32.46679306,32.45730591,32.22960281,31.75521851,31.67931747,31.76470566,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25%,0.18%,1.01%,1.32%,1.68%,3.21%,4.28%,5.44%,4.65%,4.62%,3.88%,2.36%,2.11%,2.39%
108,Merck and Co Inc,2017-07-12,inv_hammer,59.90457916,60.1049614,60.49618149,60.41030502,59.76145172,59.95228958,60.34350967,60.11450577,60.01908493,60.11450577,59.48473358,61.03053284,59.84732819,60.04771042,59.73282242,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0.34%,0.99%,0.84%,-0.24%,0.08%,0.73%,0.35%,0.19%,0.35%,-0.70%,1.88%,-0.10%,0.24%,-0.29%
109,Merck and Co Inc,2017-08-23,inv_hammer,59.30343628,60.02862549,60.39122009,60.55343628,60.31488419,60.27671814,60.99236679,61.16412354,61.17366409,61.38358688,61.46946716,63.13931274,62.91030502,61.69847488,61.83206177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.22%,1.83%,2.11%,1.71%,1.64%,2.85%,3.14%,3.15%,3.51%,3.65%,6.47%,6.08%,4.04%,4.26%
110,Merck and Co Inc,2019-09-17,inv_hammer,78.73091888,79.46565247,80.43893433,81.93701935,81.31679535,80.99236298,80.1812973,80.23854828,80.14312744,81.2022934,80.72518921,80.54389191,81.2022934,78.89312744,81.84160614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93%,2.17%,4.07%,3.28%,2.87%,1.84%,1.92%,1.79%,3.14%,2.53%,2.30%,3.14%,0.21%,3.95%
111,Novartis,2015-03-31,inv_hammer,88.36021423,89.71326447,90.14337158,90.08960724,91.73834991,91.42472839,92.04301453,93.01074982,92.32975006,92.73297119,92.75985718,93.01074982,94.05914307,92.12365723,92.57168579,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.53%,2.02%,1.96%,3.82%,3.47%,4.17%,5.26%,4.49%,4.95%,4.98%,5.26%,6.45%,4.26%,4.77%
112,Novartis,2015-06-24,inv_hammer,91.06630707,91.12902832,90.34946442,89.55197144,89.13082123,88.96057129,89.57884979,88.6917572,88.99641418,89.39964294,90.82437134,95.07168579,92.84049988,92.6164856,92.70609283,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.07%,-0.79%,-1.66%,-2.13%,-2.31%,-1.63%,-2.61%,-2.27%,-1.83%,-0.27%,4.40%,1.95%,1.70%,1.80%
113,Novartis,2015-11-12,inv_hammer,77.83154297,77.69713593,78.0734787,79.20250702,79.39964294,79.86559296,79.8835144,78.48566437,77.74193573,77.71505737,77.71505737,77.35662842,76.68458557,76.89067841,78.18996429,0,1,1,1,1,1,1,0,0,0,0,0,0,1,-0.17%,0.31%,1.76%,2.02%,2.61%,2.64%,0.84%,-0.12%,-0.15%,-0.15%,-0.61%,-1.47%,-1.21%,0.46%
114,Novartis,2015-12-24,inv_hammer,77.48207855,78.18996429,78.99641418,79.29211426,77.81362152,76.87275696,77.29390717,76.39785004,75.67204285,74.82078552,73.53942871,73.2347641,74.15770721,68.39605713,65.60035706,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.91%,1.95%,2.34%,0.43%,-0.79%,-0.24%,-1.40%,-2.34%,-3.44%,-5.09%,-5.48%,-4.29%,-11.73%,-15.34%
115,Novartis,2017-08-25,inv_hammer,74.84767151,74.74910736,75.20609283,74.3817215,75.77060699,75.62724304,75.14337158,75.51074982,76.57706451,76.8010788,76.82795715,76.85483551,77.56272125,77.66129303,76.91756439,0,1,0,1,1,1,1,1,1,1,1,1,1,1,-0.13%,0.48%,-0.62%,1.23%,1.04%,0.40%,0.89%,2.31%,2.61%,2.65%,2.68%,3.63%,3.76%,2.77%
116,Novartis,2018-12-07,inv_hammer,78.02867126,78.2347641,78.8888855,79.75806427,79.3817215,78.7723999,77.75985718,77.00717163,77.00717163,76.32616425,75.59140015,77.05197144,77.73297119,79.18458557,79.66845703,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0.26%,1.10%,2.22%,1.73%,0.95%,-0.35%,-1.31%,-1.31%,-2.18%,-3.12%,-1.25%,-0.38%,1.48%,2.10%
117,Novartis,2021-03-09,inv_hammer,83.54000092,84.59999847,85.26999664,84.18000031,85.33000183,86.11000061,85.84999847,85.87000275,86.12000275,86.66999817,87.02999878,87.27999878,86.66999817,86.88999939,88.95999908,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.27%,2.07%,0.77%,2.14%,3.08%,2.77%,2.79%,3.09%,3.75%,4.18%,4.48%,3.75%,4.01%,6.49%
118,Johnson & Johnson,2015-08-20,inv_hammer,98.79000092,98.51999664,95.20999908,95.69999695,95.22000122,96.40000153,96.29000092,95.16999817,92.88999939,93.47000122,94.08999634,93,94.72000122,93.12999725,93.97000122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27%,-3.62%,-3.13%,-3.61%,-2.42%,-2.53%,-3.66%,-5.97%,-5.39%,-4.76%,-5.86%,-4.12%,-5.73%,-4.88%
119,Johnson & Johnson,2016-11-04,inv_hammer,115.1100006,116.7200012,117.5699997,122.5,121.0999985,119.4899979,118.9899979,116.6900024,116.7799988,116.6800003,115.9199982,114.1200027,112.4199982,115.4000015,116.6600037,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1.40%,2.14%,6.42%,5.20%,3.81%,3.37%,1.37%,1.45%,1.36%,0.70%,-0.86%,-2.34%,0.25%,1.35%
